# CSO PxStat ROA30 (pass rates, abandoned tests) and ROA36 (waiting times), Category B, 2021 January–2026 July. Source: data.cso.ie
# lastUpdated=2026-08-11
# fullHistoryInJson=67 months
slug,name,county,csoName,passRate,waitWeeks,delivered,noShow,abandoned,period,driveflowUrl,passRate_2021_07,waitWeeks_2021_07,delivered_2021_07,noShow_2021_07,abandoned_2021_07,passRate_2022_07,waitWeeks_2022_07,delivered_2022_07,noShow_2022_07,abandoned_2022_07,passRate_2023_07,waitWeeks_2023_07,delivered_2023_07,noShow_2023_07,abandoned_2023_07,passRate_2024_07,waitWeeks_2024_07,delivered_2024_07,noShow_2024_07,abandoned_2024_07,passRate_2025_07,waitWeeks_2025_07,delivered_2025_07,noShow_2025_07,abandoned_2025_07,passRate_2026_07,waitWeeks_2026_07,delivered_2026_07,noShow_2026_07,abandoned_2026_07
killester,Killester,Dublin,"Killester, Co. Dublin",47.3,14,442,24,61,2026-07,https://www.driveflow.ie/killester-routes.html,78.7,,208,3,13,48.5,31,218,9,11,44.4,36,237,5,16,41.5,15,403,24,20,51.1,16,445,22,28,47.3,14,442,24,61
kilrush,Kilrush,Clare,"Kilrush, Co. Clare",66.3,12,102,3,10,2026-07,https://www.driveflow.ie/kilrush-routes.html,55.2,,60,,2,55.6,3,55,1,,45.2,21,35,1,3,62.5,13,88,4,4,62.7,10,77,1,1,66.3,12,102,3,10
letterkenny,Letterkenny,Donegal,"Letterkenny, Co. Donegal",62.4,13,515,12,22,2026-07,https://www.driveflow.ie/letterkenny-routes.html,50.3,,157,1,7,52.1,9,275,5,3,63.7,26,196,8,6,58.3,17,437,11,14,65.1,13,538,13,24,62.4,13,515,12,22
limerick-castlemungret,Limerick Castlemungret,Limerick,"Limerick - Castlemungret, Co. Limerick",57.9,10,455,12,46,2026-07,https://www.driveflow.ie/limerick-castlemungret-routes.html,49.2,,270,7,11,50,9,303,6,11,49.1,25,367,10,25,51.5,13,343,9,25,62.4,15,469,15,23,57.9,10,455,12,46
woodview,Limerick Woodview,Limerick,"Limerick - Woodview, Co. Limerick",53.1,10,493,19,39,2026-07,https://www.driveflow.ie/woodview-routes.html,53.5,,119,2,3,50.3,6,201,8,16,52.7,24,296,12,22,58.5,14,456,16,21,56.8,15,363,13,26,53.1,10,493,19,39
longford,Longford,Longford,"Longford, Co. Longford",60.6,14,141,5,9,2026-07,https://www.driveflow.ie/longford-routes.html,53.8,,107,,1,56,12,99,1,7,48.8,17,137,5,5,48,21,136,8,3,51.3,19,241,5,8,60.6,14,141,5,9
loughrea,Loughrea,Galway,"Loughrea, Co. Galway",62.3,16,267,7,16,2026-07,https://www.driveflow.ie/loughrea-routes.html,77.1,,113,1,3,58.3,9,114,1,5,68.4,18,189,4,8,62.4,13,270,6,9,65.8,12,383,11,10,62.3,16,267,7,16
mallow,Mallow,Cork,"Mallow (Cork Racecourse Mallow), Co. Cork",56.6,10,402,9,29,2026-07,https://www.driveflow.ie/mallow-routes.html,54.5,,399,4,15,49.1,4,293,6,18,57.1,27,383,12,26,57.4,18,384,19,25,53.3,22,485,17,38,56.6,10,402,9,29
maple-house,Maple House (Mulhuddart),Dublin,"Mulhuddart Maple House, Co. Dublin",46.7,12,300,15,24,2026-07,https://www.driveflow.ie/maple-house-routes.html,,,,,,,,,,,,17,,,,39.7,14,300,13,15,58.9,13,417,28,22,46.7,12,300,15,24
mitchelstown,Mitchelstown,Cork,"Mitchelstown, Co. Cork",53.7,10,255,5,21,2026-07,https://www.driveflow.ie/mitchelstown-routes.html,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,10,255,5,21
monaghan,Monaghan,Monaghan,"Monaghan, Co. Monaghan",69.5,8,301,5,11,2026-07,https://www.driveflow.ie/monaghan-routes.html,65.2,,136,2,2,60.2,8,124,3,3,61.5,18,156,3,5,63.4,22,167,4,2,63.6,15,171,5,4,69.5,8,301,5,11
mulhuddart,Mulhuddart,Dublin,"Mulhuddart, Co. Dublin",39.2,17,776,35,73,2026-07,https://www.driveflow.ie/mulhuddart-routes.html,42.7,,329,1,21,45.7,12,401,11,31,45.2,35,363,13,20,45.2,23,627,26,39,47.9,21,615,29,33,39.2,17,776,35,73
mullingar,Mullingar,Westmeath,"Mullingar, Co. Westmeath",47.8,12,384,12,33,2026-07,https://www.driveflow.ie/mullingar-routes.html,69.1,,258,1,14,54.9,10,226,5,8,49.8,27,270,8,13,42,16,360,9,20,37.5,14,327,12,14,47.8,12,384,12,33
naas,Naas,Kildare,"Naas, Co. Kildare",53,9,1414,46,135,2026-07,https://www.driveflow.ie/naas-routes.html,50.6,,719,8,29,49.1,13,527,12,28,51.6,27,897,20,50,50.4,24,935,28,38,54.4,14,1432,46,82,53,9,1414,46,135
navan,Navan,Meath,"Navan, Co. Meath",55.8,9,875,26,68,2026-07,https://www.driveflow.ie/navan-routes.html,58.9,,562,16,37,46.7,9,388,11,15,54.6,23,695,23,35,54,19,665,21,49,69.5,20,1208,43,37,55.8,9,875,26,68
nenagh,Nenagh,Tipperary,"Nenagh, Co. Tipperary",52.7,9,132,5,17,2026-07,https://www.driveflow.ie/nenagh-routes.html,24.5,,102,1,7,32.9,4,89,,10,48.8,28,101,3,12,40.3,17,74,1,11,58.7,11,149,1,5,52.7,9,132,5,17
newcastle-west,Newcastle West,Limerick,"Newcastle West, Co. Limerick",68.2,10,208,3,13,2026-07,https://www.driveflow.ie/newcastle-west-routes.html,62.5,,32,,,46.5,8,74,,3,50,31,72,3,3,45,15,161,1,9,59.6,9,250,12,15,68.2,10,208,3,13
newcastle-west-longcourt-house-hotel,Newcastle West (Longcourt House Hotel),Limerick,"Newcastle West (Longcourt House Hotel), Co. Limerick",,,,,,2026-07,https://www.driveflow.ie/newcastle-west-longcourt-house-hotel-routes.html,57.3,,127,,3,66,7,60,4,3,52.6,26,82,2,2,49.1,14,58,1,2,57.1,14,157,6,11,,,,,
portlaoise,Portlaoise,Laois,"Portlaoise, Co. Laois",,,,,,2026-07,https://www.driveflow.ie/portlaoise-routes.html,54.5,,201,1,9,52.2,11,172,4,9,49,29,266,6,13,51.1,21,260,10,17,,,,,,,,,,
maldron-hotel,Portlaoise (Maldron Hotel),Laois,"Portlaoise (Maldron Hotel), Co. Laois",59.8,14,366,12,36,2026-07,https://www.driveflow.ie/maldron-hotel-routes.html,,,,,,,,,,,,,,,,,,,,,55,17,394,20,16,59.8,14,366,12,36
raheny,Raheny,Dublin,"Raheny, Co. Dublin",51.8,29,552,22,55,2026-07,https://www.driveflow.ie/raheny-routes.html,44.1,,372,5,29,50.5,10,232,4,22,46.7,36,385,14,24,43.5,14,692,21,46,53,18,883,34,55,51.8,29,552,22,55
roscommon,Roscommon,Roscommon,"Roscommon, Co. Roscommon",59.9,10,192,5,10,2026-07,https://www.driveflow.ie/roscommon-routes.html,55,,156,1,4,55.4,8,90,2,5,55,22,180,1,8,44.7,17,161,2,7,62.5,9,392,11,16,59.9,10,192,5,10
shannon,Shannon,Clare,"Shannon, Co. Clare",55.4,7,212,3,14,2026-07,https://www.driveflow.ie/shannon-routes.html,58,,53,,3,46.7,6,77,,2,56.8,16,190,2,12,70.8,14,94,2,3,70.8,14,197,2,10,55.4,7,212,3,14
skibbereen,Skibbereen,Cork,"Skibbereen, Co. Cork",56.3,10,237,6,18,2026-07,https://www.driveflow.ie/skibbereen-routes.html,45.2,,208,1,10,39.5,6,139,3,7,74.4,31,123,3,3,59.5,17,128,4,8,58.5,14,225,8,17,56.3,10,237,6,18
sligo,Sligo,Sligo,"Sligo, Co. Sligo",53.2,11,253,11,24,2026-07,https://www.driveflow.ie/sligo-routes.html,54.8,,120,,5,56.9,8,159,3,10,51.5,17,243,8,6,53.5,14,272,7,9,59.5,7,460,16,14,53.2,11,253,11,24
tallaght,Tallaght,Dublin,"Tallaght, Co. Dublin",48.5,21,2463,103,271,2026-07,https://www.driveflow.ie/tallaght-routes.html,52.9,,1106,16,72,47.1,14,1253,35,98,47.7,40,1464,50,109,40.5,22,2434,96,170,46.7,30,2151,72,181,48.5,21,2463,103,271
thurles,Thurles,Tipperary,"Thurles, Co. Tipperary",86.8,12,88,3,9,2026-07,https://www.driveflow.ie/thurles-routes.html,65.2,,71,1,4,57.7,12,55,1,2,39.5,18,168,4,12,58.5,15,181,4,18,75.9,23,62,2,6,86.8,12,88,3,9
tipperary,Tipperary,Tipperary,"Tipperary, Co. Tipperary",65.9,9,132,3,6,2026-07,https://www.driveflow.ie/tipperary-routes.html,53.9,,39,,,53.9,9,62,3,7,45.4,22,118,3,18,58.8,16,191,7,14,40.2,15,140,10,3,65.9,9,132,3,6
tralee,Tralee,Kerry,"Tralee, Co. Kerry",56,15,313,11,29,2026-07,https://www.driveflow.ie/tralee-routes.html,52.6,,365,3,12,43.5,5,251,6,6,60,37,151,2,4,49.2,14,276,8,16,52.7,14,315,6,13,56,15,313,11,29
tuam,Tuam,Galway,"Tuam, Co. Galway",54.1,10,223,7,9,2026-07,https://www.driveflow.ie/tuam-routes.html,58.8,,171,,11,60.8,9,187,6,5,62.7,23,137,5,6,61.2,13,274,4,7,62.1,7,348,9,12,54.1,10,223,7,9
tullamore,Tullamore,Offaly,"Tullamore, Co. Offaly",56.6,13,297,6,19,2026-07,https://www.driveflow.ie/tullamore-routes.html,50.8,,131,,1,48.9,12,208,3,17,50.7,16,241,5,7,54.7,16,310,8,17,51.2,13,319,6,20,56.6,13,297,6,19
waterford,Waterford,Waterford,"Waterford, Co. Waterford",48.5,13,758,23,83,2026-07,https://www.driveflow.ie/waterford-routes.html,59.9,,363,3,23,50,4,412,15,35,42,31,351,16,40,41.8,14,504,15,27,37.4,16,484,11,35,48.5,13,758,23,83
wexford,Wexford,Wexford,"Wexford, Co. Wexford",52.2,13,412,10,32,2026-07,https://www.driveflow.ie/wexford-routes.html,53.9,,263,3,13,49.8,7,276,9,8,35.4,28,261,9,15,50.8,19,362,9,18,48.7,10,518,21,35,52.2,13,412,10,32
wicklow,Wicklow,Wicklow,"Wicklow, Co. Wicklow",37.8,13,346,12,32,2026-07,https://www.driveflow.ie/wicklow-routes.html,51,,170,4,15,52.7,7,169,6,17,56.5,34,204,2,16,55.6,16,353,8,16,44.4,14,465,11,24,37.8,13,346,12,32
